,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,Pakistan players slip down in latest ICC Test rankings,There were significant movements in the ICC Test rankings this week,,https://tribune.com.pk/story/2460690/pakistan-players-slip-down-in-latest-icc-test-rankings,sports,2024-03-27,
1,Usman Khan sends notice to Emirates Cricket Board for contract termination,"Due to violation of the contract, Usman Khan may face a ban on participating in UAE leagues in future",,https://tribune.com.pk/story/2460660/usman-khan-sends-notice-to-emirates-cricket-board-for-contract-termination,sports,2024-03-27,
2,PCB set to reappoint Babar Azam as captain,Babar is still reluctant to take on the responsibility once more,,https://tribune.com.pk/story/2460685/pcb-set-to-reappoint-babar-azam-as-captain,sports,2024-03-27,
