,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,Jason Roy opens up about decision to skip IPL 2024,Jason Roy is playing for Quetta Gladiators in the ongoing ninth edition of Pakistan Super League,,https://tribune.com.pk/story/2459122/jason-roy-opens-up-about-decision-to-skip-ipl-2024,sports,2024-03-12,
1,PSL 9: Shan Masood breaks silence on heated exchange with Shadab Khan,Shan highlighted the fine line between camaraderie and competitive spirit,,https://tribune.com.pk/story/2459120/psl-9-shan-masood-breaks-silence-on-heated-exchange-with-shadab-khan,sports,2024-03-12,
2,Shaheen Afridi’s T20I captaincy under threat ahead of T20 World Cup,Rizwan is the frontrunner as PCB is contemplating change in leadership again. Babar is also in the race,,https://tribune.com.pk/story/2459110/shaheen-afridis-t20i-captaincy-under-threat-ahead-of-t20-world-cup,sports,2024-03-12,
