,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,Shaheen Afridi pens farewell message for David Warner,David Warner bid adieu to the game after Australia's triumphant 3-0 whitewash against Pakistan,,https://tribune.com.pk/story/2452365/shaheen-afridi-pens-farewell-message-for-david-warner,sports,2024-01-06,
1,Will Babar Azam sit out New Zealand T20I series?,Hafeez has addressed the ongoing discussion surrounding the potential rest for Babar Azam during T20I series in NZ,,https://tribune.com.pk/story/2452361/will-babar-azam-sit-out-new-zealand-t20i-series,sports,2024-01-06,
2,Bhogle dissects Pakistan's performance in Australia Test series,Pakistan suffered a 3-0 series whitewash as Australia clinched an eight-wicket victory in Sydney on Saturday,,https://tribune.com.pk/story/2452346/bhogle-dissects-pakistans-performance-in-australia-test-series,sports,2024-01-06,
3,Afridi withholds opinion on Pakistan's performance after loss to Australia,Afridi refrained from commenting on Pakistan's performance following their defeat to Australia,,https://tribune.com.pk/story/2452345/afridi-withholds-opinion-on-pakistans-performance-after-loss-to-australia,sports,2024-01-06,
4,WATCH: Shan Masood presents Babar Azam's signed jersey to David Warner,"Shan Masood, honored David Warner's retirement from Test cricket by presenting him with a special gift",,https://tribune.com.pk/story/2452342/watch-shan-masood-presents-babar-azams-signed-jersey-to-david-warner,sports,2024-01-06,
5,Hafeez reveals cricket exchange program with Australia,"Hafeez revealed the details of this collaborative endeavor, aiming to enhance players' skills",,https://tribune.com.pk/story/2452339/hafeez-reveals-cricket-exchange-program-with-australia,sports,2024-01-06,
