,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,Hafeez accuses Babar Azam of neglecting fitness standards,Hafeez disclosed that fitness was not given priority and expressed concern over the neglect of fitness within the team,,https://tribune.com.pk/story/2457147/hafeez-accuses-babar-azam-of-neglecting-fitness-standards,sports,2024-02-21,
1,Hafeez reveals reason for Azam Khan's axing after three matches in NZ,Azam Khan was dropped from the playing squad after just three matches during Pakistan's T20I tour of New Zealand,,https://tribune.com.pk/story/2457143/hafeez-reveals-reason-for-azam-khans-axing-after-three-matches-in-nz,sports,2024-02-21,
2,Players instructed to stay away from four suspicious individuals,Team management and supporting staff have been instructed to stay away from four suspicious individuals,,https://tribune.com.pk/story/2457134/players-instructed-to-stay-away-from-four-suspicious-individuals,sports,2024-02-21,
