,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,'Players shouldn't get NOCs for leagues before World Cup' says Misbah-ul-Haq,Misbah-ul-Haq further stated that there is no harm in having more than one captain in every format,,https://tribune.com.pk/story/2455354/players-shouldnt-get-nocs-for-leagues-before-world-cup-says-misbah-ul-haq,sports,2024-02-03,
1,"Mir Hamza pushes for extended Test calendar, shifts focus to white-ball cricket",Hamza shared his experience of being dropped from the team in 2018,,https://tribune.com.pk/story/2455353/mir-hamza-pushes-for-extended-test-calendar-shifts-focus-to-white-ball-cricket,sports,2024-02-03,
2,Mir Hamza reveals tactical genius behind Travis Head's dismissal,Hamza disclosed a strategic approach against Head,,https://tribune.com.pk/story/2455352/mir-hamza-reveals-tactical-genius-behind-travis-heads-dismissal,sports,2024-02-03,
