,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,Shane Watson emerges as most expensive coach in PSL history,"During PSL 9, Shane Watson stayed in Pakistan for 28 days",,https://tribune.com.pk/story/2459699/shane-watson-emerges-as-most-expensive-coach-in-psl-history,sports,2024-03-18,
1,Rizwan not satisfied with his PSL 9 performance,Rizwan scored 381 runs scored across 11 innings in PSL 9 so far,,https://tribune.com.pk/story/2459705/rizwan-not-satisfied-with-his-psl-9-performance,sports,2024-03-18,
2,Rizwan reveals two teams he thought would play PSL 9 final,Sultans' journey marks their fourth appearance in the PSL finals,,https://tribune.com.pk/story/2459701/rizwan-reveals-two-teams-he-thought-would-play-psl-9-final,sports,2024-03-18,
