,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,Quetta Gladiators provide update on Hasaranga's availability for PSL 9,Quetta Gladiators issued an update regarding the status of their foreign players ahead of the ninth season of the PSL,,https://tribune.com.pk/story/2456664/quetta-gladiators-provide-update-on-hasarangas-availability-for-psl-9,sports,2024-02-16,
1,NOC issues prompt Pakistan cricketers to explore alternatives,Some players have already initiated discussions about early retirement or contemplating a shift towards freelancing,,https://tribune.com.pk/story/2456642/noc-issues-prompt-pakistan-cricketers-to-explore-alternatives,sports,2024-02-16,
2,Asif Ali clarifies six-hitting claims,Asif acknowledged the importance of performing well in the PSL as a crucial first step,,https://tribune.com.pk/story/2456644/asif-ali-clarifies-six-hitting-claims,sports,2024-02-16,
