,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,"PSL 9: Full squad, schedule of Quetta Gladiators","Quetta Gladiators are poised for a major comeback, fueled by a complete squad overhaul",,https://tribune.com.pk/story/2456339/psl-9-full-squad-schedule-of-quetta-gladiators,sports,2024-02-13,
1,Captains reveal winning strategies for success in PSL 9,PSL 9 will commence from February 17 at Gaddafi Stadium in Lahore,,https://tribune.com.pk/story/2456328/captains-reveal-winning-strategies-for-success-in-psl-9-1,sports,2024-02-13,
2,PCB unveils PSL 9 trophy in Lahore,Chairman PCB Mohsin Naqvi and owners of PSL teams were present at the trophy unveiling ceremony,,https://tribune.com.pk/story/2456324/pcb-unveils-psl-9-trophy-in-lahore,sports,2024-02-13,
3,Gladiators' captaincy conundrum: Sarfaraz Ahmed's fate hangs in the balance,Nadeem Omar shed light on the team's deliberations regarding the captaincy,,https://tribune.com.pk/story/2456320/gladiators-captaincy-conundrum-sarfaraz-ahmeds-fate-hangs-in-the-balance,sports,2024-02-13,
