,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,Star-studded commentary panel announced for PSL 9,PCB has revealed an impressive lineup of commentators for the upcoming ninth installment of the PSL,,https://tribune.com.pk/story/2456220/star-studded-commentary-panel-announced-for-psl-9,sports,2024-02-12,
1,PCB announces match officials for PSL 9,The match officials for the Qualifier will be announced in due course,,https://tribune.com.pk/story/2456218/pcb-announces-match-officials-for-psl-9,sports,2024-02-12,
2,Multan Sultans suffer major setback ahead of PSL 9,Sultans will begin their campaign at the Sultans Fort,,https://tribune.com.pk/story/2456216/multan-sultans-suffer-major-setback-ahead-of-psl-9,sports,2024-02-12,
3,"PSL 9: Full squad, schedule of Multan Sultans",A regenerated Multan Sultans are all set to enter the ninth iteration of the HBL Pakistan Super League,,https://tribune.com.pk/story/2456201/psl-9-full-squad-schedule-of-multan-sultans,sports,2024-02-12,
4,Irfan Pathan takes frustration out on Pakistan fans after India's U19 WC loss,Australia dominated in all three departments of the field to defeat India by 79 runs,,https://tribune.com.pk/story/2456197/irfan-pathan-takes-frustration-out-on-pakistan-fans-after-indias-u19-wc-loss,sports,2024-02-12,
5,"Sarfaraz talks Amir, new PCB chairman, U19 World Cup semi-final",Sarfaraz highlighted Amir's consistent performance over the past two years,,https://tribune.com.pk/story/2456187/sarfaraz-talks-amir-new-pcb-chairman-u19-world-cup-semi-final,sports,2024-02-12,
6,PSL 9: Fakhar Zaman reveals his batting position for Lahore Qalandars,Fakhar Zaman is upbeat ahead of the ninth edition of PSL,,https://tribune.com.pk/story/2456185/psl-9-fakhar-zaman-reveals-his-batting-position-for-lahore-qalandars,sports,2024-02-12,
