,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,Alex Hartley opens up about her experience as first female coach in PSL history,"Initially apprehensive about cultural acceptance, Hartley found herself warmly embraced by the Multan Sultans",,https://tribune.com.pk/story/2458156/alex-hartley-opens-up-about-her-experience-as-first-female-coach-in-psl-history,sports,2024-03-02,
1,Cricketing decisions to be made in consultation with former players,Several important decisions are being sought,,https://tribune.com.pk/story/2458155/cricketing-decisions-to-be-made-in-consultation-with-former-players,sports,2024-03-02,
2,Only performing batter for Karachi Kings leaves PSL midway for Ambani's wedding,The dynamic all-rounder will be absent from the Kings' squad,,https://tribune.com.pk/story/2458154/only-performing-batter-for-karachi-kings-leaves-psl-midway-for-ambanis-wedding,sports,2024-03-02,
3,Hasan Ali sets sights on national team call-up for ICC T20 World Cup,Hasan expressed his aspiration to secure a spot in the national team,,https://tribune.com.pk/story/2458153/hasan-ali-sets-sights-on-national-team-call-up-for-icc-t20-world-cup,sports,2024-03-02,
4,"PSL 9: Amir updates about weather ahead of Gladiators, United clash","Yesterday, both Rawalpindi and Islamabad experienced heavy downpours",,https://tribune.com.pk/story/2458152/psl-9-amir-updates-about-weather-ahead-of-gladiators-united-clash,sports,2024-03-02,
5,Babar or Rizwan: Saim Ayub's preferred batting partner?,Ayub emphasized his enjoyment in batting alongside both players,,https://tribune.com.pk/story/2458151/babar-or-rizwan-saim-ayubs-preferred-batting-partner,sports,2024-03-02,
