,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,"WATCH: Babar Azam, Mitchell Starc engage in heated argument during Sydney Test",Social media clips suggested a heated exchange of words between the two players,,https://tribune.com.pk/story/2452254/watch-babar-azam-mitchell-starc-engage-in-heated-argument-during-sydney-test,sports,2024-01-05,
1,Aamer Jamal believes Pakistan can bounce back in Sydney Test,Aamer Jamal expressed optimism despite a batting setback on Day three of Sydney Test,,https://tribune.com.pk/story/2452249/aamer-jamal-believes-pakistan-can-bounce-back-in-sydney-test,sports,2024-01-05,
2,Saim Ayub receives praise as he shines amidst Pakistan's struggle in Sydney Test,Ayub showcased his batting prowess by scoring 33 runs off 53 balls on third day of Sydney Test,,https://tribune.com.pk/story/2452246/saim-ayub-receives-praise-as-he-shines-amidst-pakistans-struggle-in-sydney-test,sports,2024-01-05,
3,"Aamer Jamal creates history, joins Imran Khan in elusive list",Jamal not only displayed his prowess with the ball but also showed his batting skills by contributing a 82-run knock,,https://tribune.com.pk/story/2452230/aamer-jamal-creates-history-joins-imran-khan-in-elusive-list,sports,2024-01-05,
4,Harsha Bhogle impressed by two Pakistan players on Australia tour,"Bhogle lavished praise on Aamer Jamal, who has picked 18 wickets so far in the ongoing Australia, Pakistan series",,https://tribune.com.pk/story/2452225/harsha-bhogle-impressed-by-two-pakistan-players-on-australia-tour,sports,2024-01-05,
5,"WATCH: Masood's crafty trap catches Smith, Saim Ayub drops another one","Smith fell into a carefully laid Pakistani trap, whereas Saim dropped Marsh on 7",,https://tribune.com.pk/story/2452216/watch-masoods-crafty-trap-catches-smith-saim-ayub-drops-another-one,sports,2024-01-05,
