,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,PSL 9: Azhar Ali strongly criticizes Shaheen Afridi's captaincy,Azhar also expressed disappointment in the bowling performances of Shaheen and Haris Rauf,,https://tribune.com.pk/story/2457274/psl-9-azhar-ali-strongly-criticizes-shaheen-afridis-captaincy,sports,2024-02-22,
1,Afghanistan's pace sensation to join Peshawar Zalmi,The inclusion of a quality pacer is expected to strengthen Zalmi's bowling attack,,https://tribune.com.pk/story/2457270/afghanistans-pace-sensation-to-join-peshawar-zalmi,sports,2024-02-22,
2,"PSL 9: Misbah, Azhar reveal secret behind Multan Sultans success so far",Multan Sultans have emerged as a dominant force in PSL 9,,https://tribune.com.pk/story/2457261/psl-9-misbah-azhar-reveal-secret-behind-multan-sultans-success-so-far,sports,2024-02-22,
