,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,"PSL 9: Babar Azam, Shaheen Afridi dominate batting stats","Peshawar Zalmi, has secured a spot in the playoffs while Qalandars has failed to qualify for the final four of PSL 9",,https://tribune.com.pk/story/2459333/psl-9-babar-azam-shaheen-afridi-dominate-batting-stats,sports,2024-03-14,
1,Rashid Khan rejoins Afghanistan squad after skipping PSL,Rashid underwent surgery and has since been on the road to recovery,,https://tribune.com.pk/story/2459332/rashid-khan-rejoins-afghanistan-squad-after-skipping-psl,sports,2024-03-14,
2,"Boost for Gladiators, setbacks for United, Zalmi ahead of PSL 9 playoffs","The playoffs of HBL PSL 9 starts from Thursday at National Bank Stadium, Karachi",,https://tribune.com.pk/story/2459323/boost-for-gladiators-setbacks-for-united-zalmi-ahead-of-psl-9-playoffs,sports,2024-03-14,
3,PCB bows to Shane Watson's demands for Pakistan coaching job,"Watson has been offered an annual salary of $2 million, which equates to roughly PKR 4.6 crore per month",,https://tribune.com.pk/story/2459320/pcb-bows-to-shane-watsons-demands-for-pakistan-coaching-job,sports,2024-03-14,
