,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,"PCB expected to appoint Azhar Ali, Rehan-ul-Haq on key roles",PCB Chairman Mohsin Naqvi is reportedly keen on leveraging Azhar's wealth of experience,,https://tribune.com.pk/story/2458759/pcb-expected-to-appoint-azhar-ali-rehan-ul-haq-on-key-roles,sports,2024-03-08,
1,PSL 9: Playoffs qualification scenarios for all teams,Defending champions Lahore Qalandars are already eliminated from playoff contention,,https://tribune.com.pk/story/2458758/psl-9-playoffs-qualification-scenarios-for-all-teams,sports,2024-03-08,
2,PSL 9: Shadab Khan opens up about heated exchange with Shan Masood,The disagreement between the two captains occurred during their PSL match in Rawalpindi on Thursday,,https://tribune.com.pk/story/2458757/psl-9-shadab-khan-opens-up-about-heated-exchange-with-shan-masood,sports,2024-03-08,
3,PCB set to appoint permanent security officer for national team,The security officer may also accompany the national cricket team on foreign tours,,https://tribune.com.pk/story/2458756/pcb-set-to-appoint-permanent-security-officer-for-national-team,sports,2024-03-08,
