,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,PSL 9: Azhar Mahmood advocates for coach-captain mic communication,Mahmood believes that such a measure could enhance the strategic aspects of the game,,https://tribune.com.pk/story/2458653/psl-9-azhar-mahmood-advocates-for-coach-captain-mic-communication,sports,2024-03-07,
1,PSL 9: Usman Tariq reported for suspect bowling action,Usman Tariq has managed to secure two wickets in three matches in the ongoing PSL 9,,https://tribune.com.pk/story/2458652/psl-9-usman-tariq-reported-for-suspect-bowling-action,sports,2024-03-07,
2,"PSL 9: Viv Richards lauds Sarfaraz Ahmed, Babar Azam",Richards also emphasized the remarkable evolution of cricket in Pakistan,,https://tribune.com.pk/story/2458648/psl-9-viv-richards-lauds-sarfaraz-ahmed-babar-azam,sports,2024-03-07,
