,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,PCB chairman opens up about key issues concerning Pakistan cricket,"Naqvi met Pakistan players and provided an update on new coaching staff, dates of training camp ahead of NZ series",,https://tribune.com.pk/story/2458458/pcb-chairman-opens-up-about-key-issues-concerning-pakistan-cricket,sports,2024-03-05,
1,Another Zimbabwe player set to take part in PSL 9,Sikandar Raza and Blessing Muzarabani are already playing in PSL,,https://tribune.com.pk/story/2458449/another-zimbabwe-player-set-to-take-part-in-psl-9,sports,2024-03-05,
2,"PSL 9: Azhar, Misbah raise concerns over Azam Khan's weight gain",Azam Khan always has remained under strict scrutiny due to his fitness levels,,https://tribune.com.pk/story/2458445/psl-9-azhar-misbah-raise-concerns-over-azam-khans-weight-gain,sports,2024-03-05,
3,Shane Watson reveals insights into coaching philosophy with Quetta Gladiators,Watson highlighted the players' commitment and their ability to rise to the occasion when needed,,https://tribune.com.pk/story/2458432/shane-watson-reveals-insights-into-coaching-philosophy-with-quetta-gladiators,sports,2024-03-05,
4,Haris Rauf turns to Lahore Qalandars for injury treatment,Rauf's central contract was also terminated just two days before the commencement of PSL,,https://tribune.com.pk/story/2458429/haris-rauf-turns-to-lahore-qalandars-for-injury-treatment,sports,2024-03-05,
