,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,"Senate, presidential races to unfold post-election",Members of national and provincial assemblies will wield their influence in election of new president of Pakistan,"Following the outcome of the general elections, pivotal decisions regarding the Senate elections and the selection of Pakistan’s new president will be made by the national and four provincial assemblies. 
The process is slated to commence immediately after the elected assembly members take their oath.
Successful candidates from the general elections on February 8 are anticipated to pledge their oaths during the assemblies’ meetings, scheduled for the end of February or early March. During these gatherings, the assembly will also witness the election of key figures such as speakers, deputy speakers, and the leader of the house. 
Read ECP dismisses Senate resolution on poll delay
Once the initial stages are finalised within the national and provincial assemblies, the next focus will be on the election of new senators, with half of the current senators set to retire in March.
Moreover, the upcoming Senate elections will witness the elimination of the four seats previously allocated to the former Federally Administered Tribal Areas (FATA), with no elections scheduled for these positions.
Simultaneously, members of the national and provincial assemblies will wield their influence in the election of the new president of Pakistan.
Published in The Express Tribune, February 6th 2024.
",https://tribune.com.pk/story/2455603/senate-presidential-races-to-unfold-post-election,balochistan,2024-02-06,https://i.tribune.com.pk/media/images/senate-app-file1705238293-0/senate-app-file1705238293-0.jpg
1,UC chairman killed in ‘firing incident’,Protestors urge concerned authorities to address their concerns and conduct impartial inquiry into incident,"A man was killed whereas another sustained injuries in what is reported to be a firing incident on the Muslim Bagh bypass in Qila Saifullah district on Monday.
The deceased was identified as Haji Sanaullah Badizai, the local chairman of the union council Haji Khar Badezai, while his brother, Abdul Qadir, was stated to be in a critical condition.
According to reports, the firing incident took place when security personnel allegedly targeted a vehicle suspected of being involved in fuel smuggling near Muslim Bagh in Balochistan, official sources said. The relatives of the victims protested and staged a sit-in on the Quetta-Zhob Highway, suspending traffic on both sides of the highway.
The protesters sought thorough investigation into the matter to ascertain the circumstances leading to the use of lethal force and ensure justice. They urged the concerned authorities to address their concerns and conduct an impartial inquiry into the incident.
Published in The Express Tribune, February 6th 2024.
",https://tribune.com.pk/story/2455604/uc-chairman-killed-in-firing-incident,balochistan,2024-02-06,https://i.tribune.com.pk/media/images/911547-bulletstargetkillingmurdershotkilledPHOTOMOHAMMADSAQIBx-1435544094/911547-bulletstargetkillingmurdershotkilledPHOTOMOHAMMADSAQIBx-1435544094.jpg
2,Funeral prayers of martyred cops offered,Policemen embraced martyrdom in terrorist attack on Chaudhwan police station,"The funeral prayers of the policemen who embraced martyrdom in terrorist attack on Chaudhwan police station were offered here in Ejaz Shaheed Police Lines with full official protocol and honour.
Read 10 cops martyred in brazen DI Khan attack
The funerals were attended by Khyber-Pakhtunkhwa Caretaker Chief Minister Arshad Hussain Shah, Chief Secretary Nadeem Aslam Chaudhry, Inspector General of Police (IGP) Akhtar Hayat Khan, Regional Police Officer (RPO) Dera Nasir Mehmood Satti, Commissioner Dera Zafarul Islam, Deputy Commissioner Mansoor Arshad, District Police Officer (DPO) Abdul Rauf Babar Qaisrani, senior military and civil administration’s officials, besides a large numbers of people hailing from different segments of the society.
The smartly turned out contingent of police presented salutes to the martyred cops while the participants laid floral wreaths on the coffins of martyred policemen wrapped in the national flag.
Published in The Express Tribune, February 6th 2024.
",https://tribune.com.pk/story/2455605/funeral-prayers-of-martyred-cops-offered,balochistan,2024-02-06,https://i.tribune.com.pk/media/images/FkP0JrrWIAAZtuE1671356710-0/FkP0JrrWIAAZtuE1671356710-0.jpg
3,Polling material sent to ROs,Election material will be handed over to polling staff tomorrow,"As candidates geared up for last-ditch effort to woo voters on the last day of the campaigning on Tuesday (today), the Election Commission of Pakistan (ECP) dispatched on Monday the polling material to the districts for onward delivery to the polling stations.
The nation will go to the polls on Thursday for which, the ECP had completed all arrangements. On Monday, more than 40 million ballot papers and other election material had reached the 24 districts of the province, which would be delivered at the polling stations on Wednesday (tomorrow).
According to the Khyber-Pakhtunkhwa Provincial Election Commissioner Shamshad Khan, the delivery of ballot papers in Mardan and Abbottabad was still pending, which would be finalized very soon. “Polling material has been provided to all the returning officers by the Election Commission,” Khan said.
“In the first phase, access to ballot papers has been completed in tribal districts. The returning officers concerned will deliver the polling materials to the polling staff on Wednesday (tomorrow),” he said. He added that CCTV cameras had been installed at 570 highly sensitive polling stations in Peshawar.
Read Delivery of polling material continues
Meanwhile, in preparation for the upcoming elections on February 8 in Peshawar, the Peshawar police conducted a flag march in the city on Monday. With the aim of bolstering the citizens’ sense of security and sending a resolute message to anti-social elements, the Capital City Police Peshawar, under the directives of CCPO Syed Ashfaq Anwar and SSP Operations Kashif Aftab Abbasi, orchestrated a flag march on various highways.
Led by SDPOs, the flag march saw the participation of SHOs, local police, other law enforcement personnel, and the Ababeel Squad. The procession featured police vehicles equipped with modern and automatic weapons, along with motorcycle riders from the Police Rides Squad.
The citizens of Peshawar were reassured through the flag march that the police are dedicated to ensuring the peaceful conduct of general elections and are prepared to handle any adverse situations.
Published in The Express Tribune, February 6th 2024.
",https://tribune.com.pk/story/2455606/polling-material-sent-to-ros,balochistan,2024-02-06,https://i.tribune.com.pk/media/images/980327-byelectionsvotingvotepollsPHOTOMohammadNomanxx-1446018940/980327-byelectionsvotingvotepollsPHOTOMohammadNomanxx-1446018940.jpg
4,Balochistan readies for secure polls,PEC assures people of full cooperation with all stakeholders,"As the Feb 8 polls in Balochistan draw near, preparations have been finalised for 16 National Assembly and 51 provincial assembly seats.
During a news conference in Quetta, Provincial Election Commissioner (PEC) Farid Ahmed Afridi assured the people of full cooperation with all stakeholders to ensure the holding of elections in a peaceful and transparent manner.
Afridi disclosed that out of a total of 5,026 polling stations in the province, 1651 were marked as most sensitive, whereas 2,249 as sensitive. 
To guarantee the smooth conduct of the electoral process, a comprehensive training programme has been completed for 51,379 polling officers and other staff involved, he added.
Read Security arrangements for election day reviewed
Highlighting the paramount importance of security, the PEC stated that 30,943 security personnel had been strategically deployed to maintain law and order during the elections. 
In a bid to address security concerns in the most sensitive polling stations, arrangements were being made for satellite internet, given the shutdown of regular internet services.
These security measures aim to safeguard the integrity of the electoral process and create an environment conducive to free and fair elections.
Published in The Express Tribune, February 6th 2024.
",https://tribune.com.pk/story/2455607/balochistan-readies-for-secure-polls,balochistan,2024-02-06,https://i.tribune.com.pk/media/images/890256-WomenpollingstationinsecurityPHOTOAFPNAbypolls-1432235450/890256-WomenpollingstationinsecurityPHOTOAFPNAbypolls-1432235450.gif
5,DI Khan anticipates tough electoral contest,"Rehman, Gandapur are both contesting as independent candidates in PK-113","Khyber-Pakhtunkhwa’s Dera Ismail Khan is set for an intense electoral competition, as PTI’s provincial president Ali Amin Gandapur and JUI-F’s Maulana Lutfur Rahman, brother of his party chief Maulana Fazlur Rehman, will face off in a provincial assembly constituency.
Rehman and Gandapur are both contesting as independent candidates in PK-113. Rehman is in the race for PK-114 under the party’s banner – a seat with 23 candidates. 
The most candidates for a provincial assembly seat in Dera Ismail Khan are 34 for PK-113. Besides Gandapur and Rehman who are running in the race as independent candidates, the other contenders include Mohammad Kafeel Ahmad of the JUI-F, Azizullah Alizai of the PPP, Sirhaan Ahmad Khan of the PML-N, Qayyum Nawaz of the PTI-P, and Taimur Ali Khan of the ANP.
Gandapur is in the race for PK-112 with his brother Faisal Amin Khan Gandapur also contesting for the seat as independent candidates. The competition is stiff in this constituency with PPP’s Ahmad Karim Kundi and JUI-F’s Samiullah Alizai also contesting for this seat. The total number of contenders for this seat is 20.
Former interim K-P agriculture minister Abdul Haleem Qasuria is also entering the electoral fray in two provincial assembly constituencies, adding another layer of intensity to the contest.
Adding a unique dimension to the elections is the participation of women candidates, with Mehnaz Ali contesting independently from two provincial constituencies.
Jamaat-e-Islami has introduced a woman candidate in one constituency PK-111, Fozia Gul, challenging traditional norms. Ehtesham Javed Akbar Khan of the PTI-P is also in the race for this seat. There are 20 candidates for this constituency.
Read Balochistan govt bans public meetings, electoral gatherings in Quetta
Former MPA Aghaz Ikramullah Gandapur of the JUI-F, whose grandfather, Sardar Inayatullah Khan Gandapur, had served as the chief minister of K-P, is in the race for PK-115. 
He will face PTI-affiliated woman candidate Roshan Bibi in this contest. There are 28 contestants for this constituency.
A total of 23 candidates are in the fray for PK-108 Tank, including two former members of the K-P Assembly, JUI-F’s Mahmood Ahmad Khan and Ghulam Qadir Khan Bhittani.
For PK-109 Upper South Waziristan, the JUI-F did not give ticket to its former member Hafiz Issamuddin, who is contesting as an independent candidate. The JUI-F has fielded Ahmed Sher Khan for the seat for which 20 candidates are contesting the polls.
In PK-110 Lower South Waziristan, the PTI has changed its candidate. 
Its former member Naseerullah Khan Wazir is contesting on a PTI-P ticket this time while the PTI has given its ticket to Ajab Gul. There are a total of 23 candidates in this constituency.
Published in The Express Tribune, February 6th 2024.
",https://tribune.com.pk/story/2455608/di-khan-anticipates-tough-electoral-contest,balochistan,2024-02-06,https://i.tribune.com.pk/media/images/51707166459-1/51707166459-1.jpg
